id,event_date,discipline_name,medal
3,27/07/2024,Diving,Bronze
4,27/07/2024,Cycling Road,Silver
5,28/07/2024,Canoe Slalom,Bronze
6,28/07/2024,Swimming,Silver
7,29/07/2024,Diving,Silver
8,29/07/2024,Equestrian,Gold
9,29/07/2024,Cycling Mountain Bike,Gold
10,29/07/2024,Equestrian,Bronze
11,29/07/2024,Canoe Slalom,Silver
12,29/07/2024,Swimming,Silver
13,31/07/2024,Triathlon,Gold
14,30/07/2024,Shooting,Gold
15,30/07/2024,Swimming,Gold
16,31/07/2024,Triathlon,Bronze
17,31/07/2024,Diving,Bronze
18,31/07/2024,Rowing,Gold
19,31/07/2024,Cycling BMX Freestyle,Silver
20,01/08/2024,Rowing,Bronze
21,01/08/2024,Rowing,Silver
22,01/08/2024,Rowing,Bronze
23,02/08/2024,Diving,Bronze
24,02/08/2024,Rowing,Silver
25,02/08/2024,Rowing,Gold
26,02/08/2024,Trampoline Gymnastics,Gold
27,02/08/2024,Equestrian,Gold
28,03/08/2024,Sailing,Bronze
29,02/08/2024,Swimming,Silver
30,02/08/2024,Swimming,Silver
31,03/08/2024,Equestrian,Bronze
32,03/08/2024,Rowing,Bronze
33,03/08/2024,Rowing,Gold
34,03/08/2024,Artistic Gymnastics,Bronze
35,03/08/2024,Athletics,Bronze
36,04/08/2024,Golf,Silver
37,04/08/2024,Equestrian,Bronze
38,04/08/2024,Shooting,Silver
39,04/08/2024,Artistic Gymnastics,Bronze
40,05/08/2024,Triathlon,Bronze
41,05/08/2024,Canoe Slalom,Bronze
42,05/08/2024,Canoe Slalom,Silver
43,05/08/2024,Cycling Track,Gold
44,05/08/2024,Athletics,Gold
45,06/08/2024,Skateboarding,Bronze
46,06/08/2024,Cycling Track,Silver
47,06/08/2024,Athletics,Silver
48,07/08/2024,Cycling Track,Silver
49,07/08/2024,Athletics,Silver
50,08/08/2024,Sailing,Gold
51,08/08/2024,Cycling Track,Bronze
52,09/08/2024,Sport Climbing,Gold
53,09/08/2024,Cycling Track,Silver
54,09/08/2024,Athletics,Silver
55,09/08/2024,Athletics,Bronze
56,10/08/2024,Diving,Bronze
57,10/08/2024,Artistic Swimming,Silver
58,10/08/2024,Athletics,Bronze
59,10/08/2024,Athletics,Bronze
60,10/08/2024,Taekwondo,Silver
61,10/08/2024,Athletics,Bronze
62,11/08/2024,Weightlifting,Bronze
63,11/08/2024,Cycling Track,Bronze
64,06/08/2024,Boxing,Bronze
65,07/08/2024,Cycling Track,Bronze
66,09/08/2024,Athletics,Silver
67,09/08/2024,Cycling Track,Bronze
